"","neighbourhood_name","range(diameter)","mean(diameter)","median(diameter)","min(diameter)","max(diameter)"
"1","ARBUTUS-RIDGE",0,11.8674192300251,10,0,62
"2","ARBUTUS-RIDGE",62,11.8674192300251,10,0,62
"3","DOWNTOWN",1,7.44564838146928,6,1,151
"4","DOWNTOWN",151,7.44564838146928,6,1,151
"5","DUNBAR-SOUTHLANDS",0,13.9126022304833,12,0,305
"6","DUNBAR-SOUTHLANDS",305,13.9126022304833,12,0,305
"7","FAIRVIEW",1.25,10.6184782608696,9,1.25,99
"8","FAIRVIEW",99,10.6184782608696,9,1.25,99
"9","GRANDVIEW-WOODLAND",0,11.3846039086976,8.5,0,63
"10","GRANDVIEW-WOODLAND",63,11.3846039086976,8.5,0,63
"11","HASTINGS-SUNRISE",0,11.0114497013369,8.5,0,435
"12","HASTINGS-SUNRISE",435,11.0114497013369,8.5,0,435
"13","KENSINGTON-CEDAR COTTAGE",0,11.6590445571454,9.5,0,99
"14","KENSINGTON-CEDAR COTTAGE",99,11.6590445571454,9.5,0,99
"15","KERRISDALE",0,12.6626585928489,10,0,156
"16","KERRISDALE",156,12.6626585928489,10,0,156
"17","KILLARNEY",0,10.0566802212101,8,0,50
"18","KILLARNEY",50,10.0566802212101,8,0,50
"19","KITSILANO",0,14.4197424522489,12,0,317
"20","KITSILANO",317,14.4197424522489,12,0,317
"21","MARPOLE",0,11.4863167007713,8.5,0,182
"22","MARPOLE",182,11.4863167007713,8.5,0,182
"23","MOUNT PLEASANT",1,11.077312460267,9,1,93.5
"24","MOUNT PLEASANT",93.5,11.077312460267,9,1,93.5
"25","OAKRIDGE",0,10.0376897414512,8,0,63
"26","OAKRIDGE",63,10.0376897414512,8,0,63
"27","RENFREW-COLLINGWOOD",0,9.64857807834182,7,0,99
"28","RENFREW-COLLINGWOOD",99,9.64857807834182,7,0,99
"29","RILEY PARK",0,11.795461426492,9,0,99
"30","RILEY PARK",99,11.795461426492,9,0,99
"31","SHAUGHNESSY",0,14.2916692823513,12,0,99
"32","SHAUGHNESSY",99,14.2916692823513,12,0,99
"33","SOUTH CAMBIE",1,11.6826652707149,8,1,141
"34","SOUTH CAMBIE",141,11.6826652707149,8,1,141
"35","STRATHCONA",1,9.21402716593245,6.5,1,48
"36","STRATHCONA",48,9.21402716593245,6.5,1,48
"37","SUNSET",0,10.7780554559579,8.5,0,95
"38","SUNSET",95,10.7780554559579,8.5,0,95
"39","VICTORIA-FRASERVIEW",0,10.2009436384645,8,0,144
"40","VICTORIA-FRASERVIEW",144,10.2009436384645,8,0,144
"41","WEST END",1,12.1290076988879,10.5,1,55
"42","WEST END",55,12.1290076988879,10.5,1,55
"43","WEST POINT GREY",0,13.2182344604171,11,0,61.6
"44","WEST POINT GREY",61.6,13.2182344604171,11,0,61.6
